BeginSample,,,,,
,_SampleName," ""15-0257-Pull with PreLoad.mss""",,,
,_MethodName," ""Pull Test with PreLoad.msm""",,,
,TestSpeed,12.5,"  ""mm/min""",,
,LoadLimitHigh,70000,"  ""N""",,
,LoadLimitLow,-70000,"  ""N""",,
,SampleInfo2," ""Ed""","  """"",,
,SlackPreLoad,20,"  ""N""",,
,SecondSpeed,50,"  ""mm/min""",,
,SampleInfo1," ""Pull with PreLoad""","  """"",,
,TimeLimit,10000,"  ""s""",,
,SampleID," ""15-0257""","  """"",,
,_SampleName," ""15-0257-Pull with PreLoad""","  """"",,
,BeginSpecimen,,,,
,,SpecimanName," ""A7""","  """"",
,,Comment," """"","  """"",
,,Break,442,"  """"",
,,Displacement_Peak_Load,34.595,"  ""mm""",
,,Displacement_Peak_Load2,1.362,"  ""in""",
,,LoadCellCapacity,200000,"  ""N""",
,,Peak,414,"  """"",
,,PeakLoad,12442,"  ""N""",
,,PeakLoad2,2797,"  ""lbf""",
,,BeginData,,,
,,,_Load, _Time, SlackExt
,,,N," ""s"""," ""mm"""
,,,21.63,0.2,0.099
,,,26.19,0.3,0.182
,,,31.61,0.4,0.262
,,,35.95,0.5,0.345
,,,39.64,0.6,0.429
,,,44.44,0.7,0.512
,,,48.79,0.8,0.595
,,,52.47,0.9,0.679
,,,56.46,1,0.762
,,,57.43,1.1,0.845
,,,59.99,1.2,0.929
,,,61.58,1.3,1.012
,,,61.27,1.4,1.095
,,,59.84,1.5,1.179
,,,60.91,1.6,1.262
,,,62.04,1.7,1.345
,,,63.52,1.8,1.429
,,,64.49,1.9,1.512
,,,65.41,2,1.596
,,,67.77,2.1,1.679
,,,70.02,2.2,1.762
,,,79.02,2.3,1.845
,,,73.39,2.4,1.929
,,,73.85,2.5,2.012
,,,75.33,2.6,2.095
,,,75.74,2.7,2.179
,,,75.13,2.8,2.262
,,,75.49,2.9,2.345
,,,75.23,3,2.429
,,,73.9,3.1,2.512
,,,73.34,3.2,2.595
,,,74.21,3.3,2.679
,,,73.95,3.4,2.762
,,,73.49,3.5,2.845
,,,73.19,3.6,2.929
,,,74.16,3.7,3.012
,,,75.44,3.8,3.096
,,,75.74,3.9,3.179
,,,76.46,4,3.262
,,,77.84,4.1,3.346
,,,80.19,4.2,3.429
,,,81.88,4.3,3.512
,,,81.73,4.4,3.595
,,,95.02,4.5,3.679
,,,127.4,4.6,3.762
,,,161.31,4.7,3.845
,,,194.35,4.8,3.929
,,,222.53,4.9,4.012
,,,250.81,5,4.095
,,,279.91,5.1,4.179
,,,317.81,5.2,4.262
,,,362.66,5.3,4.345
,,,388.54,5.4,4.429
,,,413.7,5.5,4.512
,,,443.01,5.6,4.595
,,,478.96,5.7,4.679
,,,510.72,5.8,4.762
,,,537.06,5.9,4.846
,,,570.61,6,4.929
,,,603.34,6.1,5.012
,,,636.58,6.2,5.095
,,,673.2,6.3,5.179
,,,710.13,6.4,5.262
,,,751.86,6.5,5.345
,,,792.67,6.6,5.429
,,,838.75,6.7,5.512
,,,886.01,6.8,5.595
,,,932.86,6.9,5.679
,,,978.74,7,5.762
,,,1025.33,7.1,5.845
,,,1073.81,7.2,5.929
,,,1123.37,7.3,6.012
,,,1171.8,7.4,6.095
,,,1221.31,7.5,6.179
,,,1269.9,7.6,6.262
,,,1318.84,7.7,6.346
,,,1370.49,7.8,6.429
,,,1426.39,7.9,6.512
,,,1482.91,8,6.595
,,,1539.22,8.1,6.679
,,,1596.86,8.2,6.762
,,,1657.21,8.3,6.845
,,,1719.19,8.4,6.929
,,,1780.56,8.5,7.012
,,,1839.79,8.6,7.095
,,,1900.96,8.7,7.179
,,,1960.44,8.8,7.262
,,,2019.97,8.9,7.345
,,,2079.55,9,7.429
,,,2137.24,9.1,7.512
,,,2197.18,9.2,7.595
,,,2257.63,9.3,7.679
,,,2318.65,9.4,7.762
,,,2378.33,9.5,7.845
,,,2437.96,9.6,7.929
,,,2496.98,9.7,8.012
,,,2555.85,9.8,8.095
,,,2616.2,9.9,8.179
,,,2677.88,10,8.262
,,,2738.89,10.1,8.345
,,,2800.98,10.2,8.429
,,,2860.77,10.3,8.512
,,,2921.27,10.4,8.595
,,,2980.6,10.5,8.679
,,,3038.13,10.6,8.762
,,,3094.75,10.7,8.845
,,,3152.18,10.8,8.929
,,,3209.31,10.9,9.012
,,,3265.11,11,9.095
,,,3321.11,11.1,9.178
,,,3374.3,11.2,9.262
,,,3429.08,11.3,9.345
,,,3483.75,11.4,9.429
,,,3542.72,11.5,9.512
,,,3596.26,11.6,9.595
,,,3647.82,11.7,9.679
,,,3700.96,11.8,9.762
,,,3752.51,11.9,9.845
,,,3804.78,12,9.929
,,,3856.07,12.1,10.012
,,,3907.06,12.2,10.095
,,,3958.77,12.3,10.179
,,,4008.99,12.4,10.262
,,,4059.42,12.5,10.345
,,,4110.05,12.6,10.429
,,,4158.33,12.7,10.512
,,,4209.07,12.8,10.595
,,,4257.14,12.9,10.678
,,,4306.96,13,10.762
,,,4355.8,13.1,10.845
,,,4403.82,13.2,10.929
,,,4451.95,13.3,11.012
,,,4498.8,13.4,11.095
,,,4546.1,13.5,11.179
,,,4592.69,13.6,11.262
,,,4638.52,13.7,11.345
,,,4686.13,13.8,11.428
,,,4732.93,13.9,11.512
,,,4780.75,14,11.595
,,,4827.7,14.1,11.679
,,,4873.52,14.2,11.762
,,,4919.25,14.3,11.845
,,,4964.46,14.4,11.929
,,,5011.2,14.5,12.012
,,,5056.26,14.6,12.095
,,,5101.52,14.7,12.178
,,,5144.89,14.8,12.262
,,,5189.13,14.9,12.345
,,,5234.29,15,12.428
,,,5278.53,15.1,12.512
,,,5322.87,15.2,12.595
,,,5367.47,15.3,12.678
,,,5411.3,15.4,12.762
,,,5455.74,15.5,12.845
,,,5499.73,15.6,12.929
,,,5543.25,15.7,13.012
,,,5585.95,15.8,13.095
,,,5629.17,15.9,13.178
,,,5672.85,16,13.262
,,,5716.12,16.1,13.345
,,,5758.82,16.2,13.429
,,,5801.17,16.3,13.512
,,,5843.77,16.4,13.595
,,,5886.88,16.5,13.678
,,,5929.84,16.6,13.762
,,,5972.04,16.7,13.845
,,,6015.71,16.8,13.928
,,,6057.19,16.9,14.012
,,,6100,17,14.095
,,,6142.24,17.1,14.178
,,,6184.54,17.2,14.262
,,,6226.73,17.3,14.345
,,,6267.85,17.4,14.428
,,,6308.1,17.5,14.512
,,,6349.48,17.6,14.595
,,,6391.11,17.7,14.678
,,,6431.31,17.8,14.762
,,,6472.07,17.9,14.845
,,,6512.27,18,14.928
,,,6553.49,18.1,15.012
,,,6594.05,18.2,15.095
,,,6633.84,18.3,15.179
,,,6673.93,18.4,15.262
,,,6713.72,18.5,15.345
,,,6753.72,18.6,15.428
,,,6793.66,18.7,15.512
,,,6832.78,18.8,15.595
,,,6877.59,18.9,15.678
,,,6917.73,19,15.762
,,,6956.96,19.1,15.845
,,,6997.01,19.2,15.928
,,,7035.67,19.3,16.012
,,,7074.85,19.4,16.095
,,,7113.2,19.5,16.178
,,,7152.02,19.6,16.262
,,,7191.05,19.7,16.345
,,,7228.84,19.8,16.428
,,,7266.89,19.9,16.512
,,,7304.38,20,16.595
,,,7342.94,20.1,16.678
,,,7381.35,20.2,16.762
,,,7418.58,20.3,16.845
,,,7456.28,20.4,16.928
,,,7493.1,20.5,17.012
,,,7529.77,20.6,17.095
,,,7568.02,20.7,17.178
,,,7604.29,20.8,17.262
,,,7641.72,20.9,17.345
,,,7679.11,21,17.428
,,,7715.47,21.1,17.512
,,,7752.76,21.2,17.595
,,,7789.48,21.3,17.678
,,,7825.58,21.4,17.762
,,,7861.13,21.5,17.845
,,,7897.08,21.6,17.928
,,,7934.01,21.7,18.012
,,,7969.5,21.8,18.095
,,,8005,21.9,18.179
